City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,platon sanchez,21.2833,-98.3667,309.6,33,0,2.15,Platón Sánchez,1686078048
110,fuglafjordur,62.244,-6.814,282.41,81,10,4.93,Fuglafjørður,1686078050
111,shihezi,44.3,86.0333,298.44,14,0,2.75,Shihezi,1686078050
112,weno,7.4515,151.8468,301.22,79,100,3.72,Weno,1686078050
113,kharan,28.5833,65.4167,305.84,8,0,1.3,Kharan,1686078050
114,sault ste. marie,46.5168,-84.3333,293.69,29,0,3.42,Sault Ste. Marie,1686078013
115,hermanus,-34.4187,19.2345,286.19,63,100,1.01,Hermanus,1686078033
116,ghat,24.9647,10.1728,306.62,17,34,6.45,Ghat,1686078051
117,wailua homesteads,22.0669,-159.378,298.57,77,1,1.79,Wailua Homesteads,1686078051
118,xinmin,41.9908,122.8253,291.96,66,11,8.72,Xinmin,1686078051
119,la passe,45.5549,-0.8967,300.28,65,27,2.71,La Passe,1686078051
120,konstantinovka,49.6167,127.9833,283.45,90,32,1.42,Konstantinovka,1686078051
121,dire dawa,9.5931,41.8661,298.14,54,43,3.67,Dire Dawa,1686078052
122,nizhyn,51.048,31.8869,289.84,55,100,2.05,Nizhyn,1686078052
123,anadyr,64.75,177.4833,280.43,81,20,7.0,Anadyr,1686077760
124,yarmouth,41.7057,-70.2286,296.34,58,0,3.6,Yarmouth,1686078052
125,tofol,5.3248,163.0078,301.48,77,20,3.34,Tofol,1686078052
126,st. paul,44.9444,-93.0933,301.77,60,0,3.58,Saint Paul,1686078053
127,susuman,62.7833,148.1667,283.58,67,32,1.35,Susuman,1686078053
128,nadi,-17.8,177.4167,295.79,86,100,1.59,Nadi,1686078053
129,meizhou,24.2977,116.1072,297.8,98,99,0.75,Meizhou,1686078053
130,cannonvale,-20.2833,148.7,292.81,83,62,7.09,Cannonvale,1686078053
131,port mathurin,-19.6833,63.4167,297.94,68,0,9.55,Port Mathurin,1686078053
132,carutapera,-1.195,-46.02,300.75,80,90,3.68,Carutapera,1686078054
133,huarmey,-10.0681,-78.1522,297.9,69,8,4.17,Huarmey,1686078054
134,ataq,14.5377,46.8319,300.21,56,6,4.08,Ataq,1686078054
135,lorengau,-2.0226,147.2712,300.15,81,62,1.24,Lorengau,1686078054
136,acapulco de juarez,16.8634,-99.8901,304.93,52,2,4.1,Acapulco de Juárez,1686078055
